0	0
0.005	-0.00001
0.01	-0.00001
0.015	-0.00001
0.02	-0.00001
0.025	-0.00001
0.03	-0.00001
0.035	-0.00001
0.04	-0.00001
0.045	-0.00001
0.05	-0.00001
0.055	-0.00001
0.06	-0.00001
0.065	-0.00001
0.07	-0.00001
0.075	-0.00001
0.08	-0.00001
0.085	-0.00001
0.09	-0.00001
0.095	-0.00001
0.1	-0.00001
0.105	-0.00001
0.11	-0.00001
0.115	-0.00001
0.12	-0.00001
0.125	-0.00001
0.13	-0.00001
0.135	-0.00001
0.14	-0.00001
0.145	-0.00001
0.15	-0.00001
0.155	-0.00001
0.16	-0.00001
0.165	-0.00001
0.17	-0.00001
0.175	-0.00001
0.18	-0.00001
0.185	-0.00001
0.19	-0.00001
0.195	-0.00001
0.2	-0.00001
0.205	-0.00001
0.21	-0.00001
0.215	-0.00001
0.22	-0.00002
0.225	-0.00001
0.23	-0.00001
0.235	-0.00001
0.24	-0.00001
0.245	-0.00001
0.25	-0.00001
0.255	-0.00001
0.26	-0.00001
0.265	-0.00001
0.27	-0.00001
0.275	-0.00001
0.28	-0.00001
0.285	-0.00001
0.29	-0.00001
0.295	-0.00002
0.3	-0.00001
0.305	-0.00001
0.31	-0.00001
0.315	-0.00001
0.32	-0.00001
0.325	-0.00002
0.33	-0.00001
0.335	-0.00001
0.34	-0.00001
0.345	-0.00001
0.35	-0.00001
0.355	-0.00001
0.36	-0.00001
0.365	-0.00001
0.37	-0.00001
0.375	-0.00001
0.38	-0.00001
0.385	-0.00001
0.39	-0.00001
0.395	-0.00001
0.4	-0.00001
0.405	-0.00001
0.41	-0.00001
0.415	-0.00001
0.42	-0.00002
0.425	-0.00002
0.43	-0.00002
0.435	-0.00001
0.44	0
0.445	0
0.45	-0.00001
0.455	-0.00001
0.46	-0.00001
0.465	-0.00001
0.47	-0.00001
0.475	0
0.48	-0.00001
0.485	-0.00002
0.49	-0.00003
0.495	-0.00002
0.5	-0.00001
0.505	0
0.51	0
0.515	-0.00001
0.52	-0.00001
0.525	-0.00001
0.53	-0.00001
0.535	-0.00001
0.54	-0.00002
0.545	-0.00002
0.55	-0.00001
0.555	-0.00002
0.56	-0.00002
0.565	-0.00001
0.57	0
0.575	-0.00001
0.58	-0.00002
0.585	-0.00002
0.59	-0.00001
0.595	-0.00001
0.6	-0.00001
0.605	0
0.61	0.00001
0.615	0
0.62	-0.00002
0.625	-0.00001
0.63	-0.00001
0.635	-0.00003
0.64	-0.00002
0.645	-0.00001
0.65	0
0.655	-0.00001
0.66	-0.00002
0.665	-0.00001
0.67	0.00001
0.675	0.00001
0.68	0
0.685	-0.00001
0.69	-0.00002
0.695	-0.00001
0.7	-0.00001
0.705	0
0.71	0.00002
0.715	0.00001
0.72	-0.00002
0.725	-0.00004
0.73	-0.00004
